state,year,quarter,latitude,longitude,metric,label
rajasthan,2020,4,29.35337932345045,73.22345574172566,1.0,ganganagar district
maharashtra,2020,4,21.232724006991937,78.88921461408252,14.0,nagpur district
karnataka,2022,3,12.31322317598222,76.091401111406,46.0,mysuru district
punjab,2024,4,31.37523731178235,75.71970391561408,1.0,jalandhar district
odisha,2024,2,21.14532986690608,85.42208090058685,1.0,dhenkanal district
bihar,2023,4,26.720508009469317,85.16349059146083,4.0,purbi champaran district
gujarat,2021,3,22.764569653623,70.97251225785524,2.0,morbi district
bihar,2024,1,26.38302006575436,87.67290737741685,3.0,kishanganj district
tamil-nadu,2024,4,10.70616744867929,77.39560042224907,2.0,tiruppur district
telangana,2020,2,17.315877931395676,80.69371769377543,1.0,bhadradri kothagudem district
tamil-nadu,2022,3,10.159718829088977,79.04755586880428,1.0,pudukkottai district
tamil-nadu,2024,4,10.06589895835723,78.56040688200504,1.0,sivaganga district
delhi,2024,4,28.54443223525236,77.29223320023456,655.0,south east district
karnataka,2020,4,12.155948691458116,76.51991947613865,1.0,mysuru district
maharashtra,2024,1,18.78492870242493,77.70514426192459,6.0,nanded district
uttar-pradesh,2024,3,28.141515314711583,79.57720075271835,4.0,bareilly district
karnataka,2024,3,14.219916027689289,75.00853989318185,1.0,shivamogga district
uttar-pradesh,2023,2,24.653296633986784,78.43540423861062,24.0,lalitpur district
madhya-pradesh,2024,2,23.21387439790402,77.43003569904403,771.0,bhopal district
andhra-pradesh,2024,3,18.71492980238381,83.22383143730293,2.0,parvathipuram manyam district
rajasthan,2022,1,25.369114866016773,72.77473246268165,8.0,jalore district
odisha,2023,2,21.039758349880763,85.04932533217043,4.0,anugul district
karnataka,2023,3,14.933367898303306,75.3237262133769,3.0,haveri district
telangana,2023,3,17.8312032611588,80.9373623359282,1.0,bhadradri kothagudem district
madhya-pradesh,2023,1,23.066832272264836,78.73061584852664,1.0,raisen district
madhya-pradesh,2023,3,23.10872468963761,75.30040090996116,1.0,ujjain district
karnataka,2022,1,16.21402979687396,74.70444252806931,4.0,belagavi district
gujarat,2024,4,23.27923290678205,71.91049339367723,2.0,ahmedabad district
odisha,2024,2,20.30590892957188,86.10901194459096,4.0,jagatsinghapur district
uttar-pradesh,2022,4,25.651584446223765,83.70397166795588,1.0,ghazipur district
andhra-pradesh,2024,3,14.808961470337374,80.01436559032136,1.0,sri potti sriramulu nellore district
andhra-pradesh,2021,2,18.423793815635747,83.34153342076118,1.0,vizianagaram district
west-bengal,2022,4,23.346719198198223,86.38328541854423,7.0,purulia district
madhya-pradesh,2022,1,23.611245277692216,77.56767350389504,1.0,vidisha district
maharashtra,2023,4,18.52711900356235,76.50835619494828,1.0,latur district
maharashtra,2022,3,19.33601010547503,78.08230843392138,1.0,nanded district
odisha,2023,4,19.795629055678116,84.75766995991948,1.0,ganjam district
uttar-pradesh,2021,1,26.09769789193049,80.47158657459656,1.0,fatehpur district
uttar-pradesh,2023,2,25.821928337828997,81.49928841516527,2.0,pratapgarh district
tamil-nadu,2021,4,11.619084345347591,79.7119418621192,1.0,cuddalore district
gujarat,2021,4,24.54769003757937,71.41212497235112,1.0,banas kantha district
gujarat,2021,1,22.27561500751847,73.23525247245122,54.0,vadodara district
west-bengal,2023,2,22.667623267184297,86.90731009801635,2.0,bankura district
bihar,2024,3,25.90285172522137,84.66360489022308,9.0,saran district
uttar-pradesh,2022,3,27.787579486705216,77.56767350389504,2.0,mathura district
tamil-nadu,2021,4,12.167450703672351,78.49224265244757,3.0,krishnagiri district
karnataka,2024,3,13.390717225140277,75.25373970206532,44.0,chikkamagaluru district
uttar-pradesh,2022,3,27.393557834501184,79.20563608018333,2.0,etah district
madhya-pradesh,2024,3,22.746226275328358,77.29223320023456,1.0,sehore district
andhra-pradesh,2023,4,16.98848793167159,81.7841702924854,529.0,east godavari district
maharashtra,2022,4,19.32984333899697,76.04499299765236,2.0,jalna district
jharkhand,2022,2,22.473358297718725,86.7064221927009,7.0,east singhbhum district
maharashtra,2022,3,21.04819884964259,79.5097549234024,1.0,nagpur district
bihar,2024,1,26.13508848392013,84.56938589838856,7.0,siwan district
bihar,2022,1,26.318708545811266,84.44352229327214,31.0,siwan district
chhattisgarh,2020,3,20.88319803488685,81.64186564422351,1.0,dhamtari district
tamil-nadu,2021,4,11.122114977595064,77.29223320023456,229.0,tiruppur district
uttar-pradesh,2024,2,28.439632014015263,78.69659723711398,1.0,sambhal district
maharashtra,2022,3,20.77249921760552,78.66256699955369,3.0,wardha district
assam,2021,4,24.368154046825996,92.43569601460378,1.0,karimganj district
bihar,2020,2,26.03607558573368,84.46451841387275,1.0,siwan district
andhra-pradesh,2022,1,16.666655354768,81.08098475426915,1.0,west godavari district
maharashtra,2024,3,20.47700128554105,74.8799517907351,1.0,jalgaon district
west-bengal,2021,3,26.13976740337269,89.21343445892099,3.0,koch bihar district
west-bengal,2021,2,22.33785843264405,87.87952300467136,3.0,purba medinipur district
jharkhand,2022,4,23.70656066151872,84.47501365036504,1.0,latehar district
assam,2024,3,24.88632556690333,92.66360662053494,4.0,cachar district
rajasthan,2022,2,28.754099863970584,75.21873456590254,1.0,churu district
uttar-pradesh,2024,4,28.22356793510827,78.0594873547313,1.0,bulandshahr district
gujarat,2020,4,23.119947754856888,72.62103033913469,10.0,gandhinagar district
uttar-pradesh,2022,1,26.134591569202342,81.23536116215816,1.0,rae bareli district
kerala,2021,3,10.626203931669208,76.04499299765236,25.0,thrissur district
bihar,2024,1,25.25226677618253,84.9869546942003,11.0,patna district
odisha,2024,2,21.791974397645745,87.22699726970693,22.0,baleshwar district
madhya-pradesh,2022,4,23.5424891551344,78.49224265244757,1.0,raisen district
andhra-pradesh,2021,3,16.97108936439255,81.09202178306411,1.0,west godavari district
odisha,2022,3,22.20758240437602,84.3909990905796,2.0,sundargarh district
maharashtra,2023,2,21.009963493544536,75.48690331265851,12.0,jalgaon district
karnataka,2023,4,12.206948129972698,76.64704699668393,26.0,mysuru district
assam,2023,1,26.164776322929,92.64374384168624,6.0,nagaon district
telangana,2022,4,17.336789078427252,79.03625439452695,3.0,yadadri bhuvanagiri district
assam,2023,1,27.067485461382045,94.27949347695387,2.0,majuli district
tamil-nadu,2021,3,8.941460570321423,77.29223320023456,6.0,tenkasi district
madhya-pradesh,2024,2,23.244774780130037,77.23476744643328,1.0,bhopal district
maharashtra,2024,4,20.932148467761877,78.97972709012171,112.0,nagpur district
odisha,2022,3,20.773148876352376,85.75128301518073,4.0,dhenkanal district
uttar-pradesh,2023,2,26.86553820288871,78.41266003203229,1.0,agra district
jammu-&-kashmir,2022,1,33.56039195527124,75.18372156165412,1.0,anantnag district
maharashtra,2024,4,19.816161871009456,78.61717532516249,1.0,yavatmal district
karnataka,2024,3,12.574904905282896,76.83173251222411,9.0,mandya district
karnataka,2023,2,15.055995180031498,76.5546031082873,24.0,ballari district
jharkhand,2022,4,22.79789106675785,86.31231974489663,3.0,east singhbhum district
andhra-pradesh,2021,1,13.424238731538331,79.54348408275608,32.0,chittoor district
jharkhand,2022,3,23.963551424555188,86.33260584217707,1.0,dhanbad district
assam,2022,4,26.138156368780923,91.0346773932616,1.0,barpeta district
uttar-pradesh,2023,3,28.23833075982923,79.64459648905714,2.0,bareilly district
maharashtra,2024,4,20.79896466562736,75.37036616117476,1.0,jalgaon district
gujarat,2022,4,21.21333474769388,72.90471363631887,113.0,surat district
uttar-pradesh,2022,2,25.458643743522767,83.0844531912709,4.0,varanasi district
andhra-pradesh,2022,2,18.38957682634149,83.7252266320834,2.0,srikakulam district
west-bengal,2023,3,21.771809702081264,88.41615227959252,2.0,south twenty four parganas district
andhra-pradesh,2024,3,13.568186233024097,78.67391170169752,1.0,annamayya district
rajasthan,2024,1,27.992641430696843,73.37676413753454,18.0,bikaner district
rajasthan,2022,2,27.995998826691903,73.78896894871082,2.0,bikaner district
maharashtra,2023,1,18.193596560276458,76.88939072173052,2.0,latur district
bihar,2023,3,25.591868711804334,84.56938589838856,3.0,bhojpur district
rajasthan,2022,3,25.96258886051879,74.02413671784227,2.0,pali district
uttar-pradesh,2023,3,26.663297944795254,82.26376159311367,2.0,ayodhya district
uttar-pradesh,2020,4,26.188311195860376,82.133281817645,2.0,sultanpur district
odisha,2024,4,19.191816365035667,84.78899066387379,8.0,ganjam district
gujarat,2020,3,21.6716325456766,72.5500596032378,3.0,bharuch district
west-bengal,2023,4,23.072338908181816,86.90731009801635,11.0,bankura district
rajasthan,2024,4,26.5858466336266,77.45298683394492,5.0,dholpur district
uttar-pradesh,2020,4,30.254580596024887,77.62497342187812,1.0,saharanpur district
tamil-nadu,2022,2,8.90876603835277,77.56767350389504,2.0,tirunelveli district
madhya-pradesh,2021,4,26.161277964049187,78.33301571784003,1.0,gwalior district
west-bengal,2020,4,23.441157690784785,85.8742095286338,1.0,purulia district
madhya-pradesh,2022,1,22.683567544775386,75.9985692625754,7.0,indore district
uttar-pradesh,2021,3,29.115103037012627,78.5263304921143,1.0,bijnor district
jharkhand,2022,2,24.04611633424801,85.82302509012833,4.0,hazaribagh district
andhra-pradesh,2023,4,15.081772044397706,78.25331016223771,1.0,kurnool district
tamil-nadu,2021,1,11.168469222858157,77.3381855201411,23.0,tiruppur district
rajasthan,2024,4,27.80124090477167,74.75126302188613,2.0,churu district
chhattisgarh,2022,1,20.98641350153172,81.57609449046042,2.0,durg district
andhra-pradesh,2023,2,17.05418745313198,82.26376159311367,7.0,east godavari district
maharashtra,2023,1,19.839524795481974,75.44029926156757,14.0,aurangabad district
haryana,2022,4,30.328390418272303,76.87786123226277,32.0,ambala district
chhattisgarh,2022,3,22.909678533593297,82.91250357978087,9.0,surguja district
rajasthan,2023,1,25.287191502321644,72.8574557944485,5.0,jalore district
punjab,2022,3,30.170688624051657,76.02178307708606,1.0,sangrur district
maharashtra,2023,2,20.003609948628444,73.75366953292578,428.0,nashik district
bihar,2021,1,25.769938292320948,86.54511666035863,5.0,saharsa district
west-bengal,2021,2,23.146589555053705,86.4743799938199,1.0,purulia district
uttar-pradesh,2021,1,28.70820359921876,79.16049714761834,3.0,rampur district
west-bengal,2022,4,21.93059194524526,87.7221872087428,1.0,purba medinipur district
odisha,2022,1,20.167571307277857,85.31879137160946,5.0,nayagarh district
west-bengal,2024,4,23.567778740599906,88.13401909634123,20.0,purba bardhaman district
maharashtra,2021,3,17.769801548934524,73.11725733266954,1.0,ratnagiri district
tamil-nadu,2023,1,8.934207886348265,77.38411971559434,3.0,tenkasi district
maharashtra,2022,1,20.874593160973625,75.98696089865172,2.0,jalgaon district
west-bengal,2023,1,22.712588711744555,88.32878957469845,255.0,hooghly district
andhra-pradesh,2020,3,16.320707593189855,80.37143260200438,42.0,guntur district
meghalaya,2024,1,25.7629954714052,91.89527132620286,1.0,ribhoi district
gujarat,2022,3,22.766210817689156,73.61241017489317,98.0,panch mahals district
uttar-pradesh,2024,1,26.69134590308224,83.25595326647776,11.0,gorakhpur district
telangana,2020,4,19.07133344670148,78.298863666532,17.0,nirmal district
rajasthan,2024,2,27.59225585176503,75.9985692625754,8.0,jaipur district
madhya-pradesh,2024,4,23.394366837139227,76.25370517852909,34.0,shajapur district
west-bengal,2024,2,25.6570097227002,88.14377823941402,22.0,uttar dinajpur district
andhra-pradesh,2024,1,16.227915840701815,79.89128125660861,1.0,guntur district
rajasthan,2024,2,24.98825174947749,76.11459928183801,2.0,kota district
jharkhand,2023,2,24.1026559433592,85.73076734385029,2.0,giridih district
maharashtra,2020,4,21.47213290902413,74.34115147359432,1.0,nandurbar district
bihar,2023,2,26.000478745228783,86.30217364222673,4.0,darbhanga district
uttarakhand,2021,1,30.25913626652268,78.41266003203229,1.0,tehri garhwal district
rajasthan,2024,2,27.833172392243384,76.35794005782289,1.0,alwar district
tamil-nadu,2020,3,11.490768046630134,77.59059696075337,2.0,erode district
gujarat,2024,3,20.52010759607116,72.89290004477898,2.0,valsad district
bihar,2024,3,25.873865879900148,86.95740226788428,9.0,madhepura district
meghalaya,2024,2,25.39616856863208,90.22915646281324,1.0,west garo hills district
karnataka,2023,1,12.576546061020016,77.32669913590907,1.0,ramanagara district
uttar-pradesh,2022,4,25.820639824749765,81.47732942119913,1.0,pratapgarh district
karnataka,2021,4,13.434792707676635,75.46360309640293,1.0,chikkamagaluru district
rajasthan,2020,2,28.0905783973818,73.35318521047911,1.0,bikaner district
uttarakhand,2024,2,29.573364963661803,79.6333673564944,21.0,almora district
gujarat,2020,3,24.169805592596795,72.73927109836653,1.0,banas kantha district
jharkhand,2022,4,25.04834190452893,87.78125243163673,2.0,sahebganj district
andhra-pradesh,2022,4,18.5190289127071,83.36291067534142,4.0,vizianagaram district
uttar-pradesh,2022,2,25.25629759964033,83.29875755466209,2.0,chandauli district
tamil-nadu,2020,2,8.828580418799811,78.1279359341075,4.0,thoothukkudi district
bihar,2024,2,26.21862149306165,85.64862513228498,9.0,muzaffarpur district
telangana,2020,4,18.143753675081065,79.26202936662962,1.0,siddipet district
odisha,2023,4,18.92885580629164,83.25595326647776,5.0,koraput district
bihar,2024,4,24.94531114772062,85.7717907206235,7.0,nawada district
maharashtra,2023,1,19.623778701774828,74.80977027171852,1.0,ahmednagar district
andhra-pradesh,2021,3,14.122483782552251,79.83527668111408,91.0,spsr nellore district
punjab,2020,3,30.14411458627458,76.1957617806103,15.0,patiala district
chhattisgarh,2021,1,21.93041403326522,83.33084212234169,6.0,raigarh district
uttar-pradesh,2021,4,28.30008155627913,78.8212750396855,2.0,budaun district
rajasthan,2023,3,27.38557570434367,76.24211849703654,6.0,alwar district
madhya-pradesh,2024,2,22.85894139271404,75.24207219999633,3.0,dhar district
uttar-pradesh,2024,3,25.16711978509543,79.05885601121777,1.0,jhansi district
madhya-pradesh,2023,4,22.56444409160277,76.50835619494828,2.0,dewas district
karnataka,2023,3,12.26642017676977,75.83596448863948,3.0,kodagu district
bihar,2023,4,25.86518423381357,86.54511666035863,22.0,saharsa district
maharashtra,2022,4,19.0617744542946,76.65859777369185,2.0,parbhani district
rajasthan,2021,4,24.61530765584628,77.00462604267338,2.0,baran district
telangana,2022,1,17.83171791637429,77.75093032135311,1.0,sangareddy district
uttar-pradesh,2024,2,28.19044402677352,78.20773680889053,2.0,bulandshahr district
andhra-pradesh,2023,4,14.972092595530318,78.35577750511321,1.0,ysr district
bihar,2021,4,26.73382851433813,84.87242838496222,1.0,purbi champaran district
odisha,2024,3,20.845135144370488,86.29202550458191,1.0,jajpur district
rajasthan,2024,1,25.635348713296427,74.0828838592642,3.0,bhilwara district
uttar-pradesh,2020,4,25.340787062896585,82.56727270547317,5.0,bhadohi district
chhattisgarh,2022,3,20.769247716986488,81.02577631468955,1.0,balod district
karnataka,2022,1,13.554570731933405,78.11653089466729,6.0,chikkaballapura district
uttar-pradesh,2023,2,25.22975826859556,79.27330396061865,1.0,jhansi district
maharashtra,2021,3,18.56097516035903,76.33478381722806,2.0,beed district
andaman-&-nicobar-islands,2023,3,9.18455306555336,92.81284629716966,3.0,nicobars district
haryana,2021,4,29.94827153683619,76.82019764862447,1.0,kurukshetra district
maharashtra,2021,3,20.29010171746298,76.4042403526058,1.0,buldhana district
karnataka,2021,4,14.271884853987364,75.1136721058433,1.0,shivamogga district
karnataka,2024,2,14.235787461512205,75.81271993338781,9.0,davanagere district
assam,2021,2,27.476532345338384,95.3154784356966,11.0,tinsukia district
uttar-pradesh,2021,3,26.53596122724511,82.08973525630255,4.0,ayodhya district
uttar-pradesh,2024,2,29.4521570996575,77.20027453793233,5.0,shamli district
west-bengal,2022,1,26.18697600308384,89.21343445892099,4.0,koch bihar district
haryana,2023,1,28.267436520944354,76.11459928183801,2.0,mahendragarh district
uttar-pradesh,2020,3,27.679799671817285,77.91103206676378,1.0,aligarh district
maharashtra,2024,1,19.014793995910747,73.04643092224194,625.0,raigad district
odisha,2023,3,20.70894559137477,85.12200309318553,1.0,anugul district
jammu-&-kashmir,2022,4,32.7734759675604,74.50531198636581,2.0,jammu district
tamil-nadu,2024,1,12.651969686414864,79.57720075271835,2.0,tiruvannamalai district
rajasthan,2024,2,24.531660493422265,73.98887973002672,2.0,udaipur district
andhra-pradesh,2021,2,16.537451050343805,80.03672588989679,1.0,guntur district
karnataka,2024,4,16.585114954504753,75.55678213448269,1.0,vijayapura district
arunachal-pradesh,2020,4,27.20640703947788,92.37642582964318,4.0,west kameng district
west-bengal,2024,1,23.182885376317973,87.82058640728447,55.0,purba bardhaman district
maharashtra,2021,2,20.29158596465853,78.70793806778147,1.0,yavatmal district
andhra-pradesh,2024,1,17.78291759514271,82.2746240405089,1.0,visakhapatnam district
gujarat,2021,3,23.951106766900647,72.94015091407597,1.0,sabar kantha district
west-bengal,2022,1,23.297022068437915,86.83709369534931,4.0,bankura district
odisha,2021,4,19.851440376523684,82.9340217212385,6.0,kalahandi district
punjab,2021,2,30.66829457068005,74.84486475527515,1.0,faridkot district
uttar-pradesh,2023,1,26.763771301368884,82.62133105703178,2.0,basti district
karnataka,2022,4,14.108641191922398,75.96374126459287,6.0,davanagere district
gujarat,2020,4,21.235306216362176,70.05626861226195,1.0,junagadh district
maharashtra,2024,1,19.088901084574783,72.8574557944485,2667.0,mumbai suburban district
chhattisgarh,2021,4,22.188055426570624,82.18767759796764,1.0,bilaspur district
uttar-pradesh,2024,3,28.8324286314177,79.27330396061865,1.0,rampur district
maharashtra,2021,4,21.08311600847242,74.774668379611,1.0,dhule district
telangana,2024,3,16.86880053204079,79.66705055598808,9.0,suryapet district
uttar-pradesh,2022,1,24.54542371776129,78.88921461408252,1.0,lalitpur district
west-bengal,2021,1,25.327667662842927,88.32878957469845,2.0,dakshin dinajpur district
uttar-pradesh,2022,2,27.14512283401403,82.10062438702498,1.0,gonda district
maharashtra,2022,4,16.73824103782945,74.3646122414788,7.0,kolhapur district
rajasthan,2021,4,26.83034947408561,76.95854495103909,1.0,karauli district
haryana,2021,1,28.38434366296836,76.58927739382993,1.0,rewari district
uttarakhand,2024,4,30.28858621156538,79.11533670045316,5.0,chamoli district
tamil-nadu,2023,1,13.169592463259988,80.01436559032136,15.0,thiruvallur district
west-bengal,2023,3,23.41499638531568,87.42570928874844,37.0,paschim bardhaman district
karnataka,2024,4,13.060322364450773,75.02022466170382,21.0,dakshina kannada district
kerala,2022,3,10.73635166335205,76.5546031082873,21.0,palakkad district
telangana,2022,4,16.600020581255368,79.41974969732168,1.0,nalgonda district
haryana,2021,4,29.093479177527385,75.90567529309948,5.0,hisar district
madhya-pradesh,2021,1,23.760030880415595,75.54513794623247,12.0,ratlam district
tamil-nadu,2021,4,12.638253708637489,78.17354381898866,3.0,krishnagiri district
rajasthan,2022,2,27.933106901274723,75.2304038207915,13.0,jhunjhunu district
madhya-pradesh,2021,1,24.34235393301392,78.5263304921143,3.0,sagar district
maharashtra,2020,4,21.555406678517883,74.84486475527515,2.0,dhule district
uttar-pradesh,2022,2,26.45495210871116,83.00928030221176,1.0,ambedkar nagar district
kerala,2020,4,10.75503258888033,76.23053081508246,2.0,palakkad district
madhya-pradesh,2021,4,22.1358186912751,79.03625439452695,3.0,chhindwara district
madhya-pradesh,2024,3,23.36946147448875,78.85525072171558,1.0,sagar district
haryana,2024,4,28.22277860277789,77.29223320023456,168.0,palwal district
telangana,2024,1,16.802834607799625,78.85525072171558,4.0,nalgonda district
telangana,2022,1,18.3181315072004,79.88008318918982,2.0,jaya shankar bhalupally district
rajasthan,2022,1,25.949660356750336,76.21894213408252,2.0,tonk district
andhra-pradesh,2024,2,14.713301493537738,77.79669747328762,11.0,anantapur district
tamil-nadu,2024,1,11.660925725152088,79.02495158966912,5.0,kallakkurichi district
maharashtra,2022,2,19.525712327631048,73.09365094896565,6.0,palghar district
rajasthan,2022,3,25.10946356159936,76.41581287924114,3.0,baran district
uttar-pradesh,2020,3,25.273085545809323,82.4265217335477,1.0,bhadohi district
odisha,2020,3,22.19019602775224,84.57986225569067,13.0,sundargarh district
assam,2024,4,26.99600635476674,95.02344716566748,12.0,charaideo district
karnataka,2022,2,14.561740987415154,75.90567529309948,6.0,davanagere district
uttar-pradesh,2024,4,27.366178737745685,78.43540423861062,1.0,etah district
kerala,2024,2,9.231484376418743,76.92397271060467,8.0,pathanamthitta district
tamil-nadu,2024,3,11.091712175070588,77.62497342187812,4.0,tiruppur district
karnataka,2020,4,16.029592341050133,74.52875102323281,1.0,belagavi district
maharashtra,2022,1,20.727015441608597,79.84648044141969,1.0,bhandara district
rajasthan,2024,3,23.25075890603297,74.15335626699198,6.0,banswara district
odisha,2022,2,21.562714272574937,87.05743019504452,1.0,baleshwar district
madhya-pradesh,2022,4,21.949848680154428,79.07015482048465,1.0,chhindwara district
karnataka,2021,1,14.80633088673138,74.12986841096104,32.0,uttara kannada district
uttar-pradesh,2020,3,26.571520833074825,79.72316117560048,2.0,kanpur dehat district
tamil-nadu,2022,4,9.482608939927546,78.5036065356818,3.0,ramanathapuram district
uttar-pradesh,2024,4,26.5786818780892,83.89500415829424,3.0,deoria district
andhra-pradesh,2020,4,16.373632680736442,81.60898731024885,7.0,west godavari district
rajasthan,2022,3,26.55142610438553,76.20735245545293,3.0,dausa district
west-bengal,2022,4,23.010640377512036,87.45544316199368,4.0,bankura district
odisha,2023,2,21.209815145196917,85.17385761059063,1.0,anugul district
west-bengal,2023,1,23.63047329712833,88.43554220339693,1.0,nadia district
odisha,2022,4,18.81042078906853,84.31738782612,2.0,gajapati district
karnataka,2023,4,15.316609495486558,76.33478381722806,5.0,koppal district
rajasthan,2022,3,25.36155301042749,73.28243314011549,4.0,pali district
chhattisgarh,2021,3,21.89868750110629,82.58890117122412,3.0,janjgir champa district
andhra-pradesh,2022,1,17.987158648998086,83.34153342076118,1.0,visakhapatnam district
haryana,2020,3,30.365216960368343,77.131258617636,1.0,ambala district
rajasthan,2024,1,25.240932881551263,74.27075087427112,2.0,bhilwara district
madhya-pradesh,2022,3,23.045296824414027,77.08522582470204,1.0,sehore district
assam,2024,2,27.19122591571268,94.45423106623296,1.0,lakhimpur district
uttar-pradesh,2022,4,26.040020286902024,79.8016568843829,1.0,jalaun district
andhra-pradesh,2020,3,15.039042857658009,77.25775711887478,3.0,anantapur district
punjab,2024,3,30.639319931957942,75.76621946092965,1.0,ludhiana district
maharashtra,2022,4,19.928105409066465,74.42325070848729,5.0,ahmednagar district
himachal-pradesh,2024,3,31.2421282351622,77.43003569904403,1.0,shimla district
maharashtra,2023,1,18.577986113800705,77.06220280750642,2.0,latur district
karnataka,2022,1,14.15139297057076,74.82146925802986,1.0,shivamogga district
maharashtra,2024,3,20.58807036967521,75.62662797368989,2.0,chhatrapati sambhaji nagar district
tamil-nadu,2022,1,11.68157472941501,79.27330396061865,2.0,kallakkurichi district
rajasthan,2021,3,27.00629186202079,77.23476744643328,1.0,bharatpur district
uttar-pradesh,2022,4,27.472581901932767,77.6593393814543,284.0,mathura district
assam,2023,2,26.13221127359968,91.64206989351544,123.0,kamrup metropolitan district
west-bengal,2023,4,22.701776450406204,86.82705447302818,2.0,bankura district
kerala,2023,4,12.051086248608778,75.34704796764395,38.0,kannur district
uttar-pradesh,2023,1,27.59434477029604,81.4114141727905,1.0,bahraich district
andhra-pradesh,2023,2,15.263427037007874,79.84648044141969,1.0,prakasam district
karnataka,2021,4,11.770558695291117,77.10824443175821,1.0,chamarajanagara district
uttar-pradesh,2023,3,27.88507225038162,77.49887533552753,2.0,mathura district
assam,2022,1,26.328339977586246,92.74314214242402,8.0,nagaon district
uttar-pradesh,2020,3,27.97896080855807,81.42240402698344,1.0,bahraich district
uttar-pradesh,2022,3,29.370856528420216,77.29223320023456,8.0,shamli district
karnataka,2022,3,17.37316506195388,77.487404934567,2.0,kalaburagi district
andhra-pradesh,2023,3,18.475076261663386,83.81017376296029,1.0,srikakulam district
rajasthan,2022,4,25.317180658584824,72.9165266460554,4.0,jalore district
